ID,Work Item Type,Title 1,Title 2,Description,Acceptance Criteria,State,Area Path,Iteration Path,Story Points,Priority,Tags
,Product Backlog Item,As a visitor I can register with email and password so that I can access the platform,,Email and password registration issuing a JWT in an HTTP-only cookie.,Password is stored hashed; duplicate email is rejected; session survives a page reload.,Done,TicketFlow\Backend,TicketFlow\Sprint 1,5,1,E1-Accounts
,Task,,Create a responsive sign-up form UI with client-side validation,"Name, email, password and confirmation with inline errors.",,Done,TicketFlow\Frontend,TicketFlow\Sprint 1,,,E1-Accounts
,Task,,Implement POST /api/v1/users/signup with bcrypt password hashing,"Controller, service and repository for account creation.",,Done,TicketFlow\Backend,TicketFlow\Sprint 1,,,E1-Accounts
,Task,,Filter the submitted role through the SIGNUP_ROLES whitelist,Only user and creator are self-assignable; admin is refused.,,Done,TicketFlow\Backend,TicketFlow\Sprint 1,,,E1-Accounts
,Task,,Issue the JWT as an HTTP-only cookie on success,Not readable by scripts; expiry configured from environment.,,Done,TicketFlow\Backend,TicketFlow\Sprint 1,,,E1-Accounts
,Product Backlog Item,As a registered user I can log in and log out so that my session is mine alone,,"Login, logout and the protect middleware guarding authenticated routes.",Invalid credentials are rejected without revealing which field was wrong; logout clears the cookie.,Done,TicketFlow\Backend,TicketFlow\Sprint 1,3,1,E1-Accounts
,Task,,Build the login form and logout control,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 1,,,E1-Accounts
,Task,,"Implement login, logout and the protect middleware",,,Done,TicketFlow\Backend,TicketFlow\Sprint 1,,,E1-Accounts
,Task,,Add the middleware.ts route guard for unauthenticated users,"Decodes the cookie and redirects; a UX guard only, never the authorisation decision.",,Done,TicketFlow\Frontend,TicketFlow\Sprint 1,,,E1-Accounts
,Product Backlog Item,As a user I can reset a forgotten password by email so that I am not locked out,,Emailed reset token with a short expiry.,Token is single-use and expires in 10 minutes; only a hash is stored; the old password stops working.,Done,TicketFlow\Backend,TicketFlow\Sprint 1,3,2,E1-Accounts
,Task,,Build the forgot-password and reset-password screens,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 1,,,E1-Accounts
,Task,,Generate a hashed single-use reset token with a 10-minute expiry,,,Done,TicketFlow\Backend,TicketFlow\Sprint 1,,,E1-Accounts
,Task,,Send the reset email through the Pug template and nodemailer,,,Done,TicketFlow\Backend,TicketFlow\Sprint 1,,,E1-Accounts
,Product Backlog Item,As an administrator I can assign roles to users so that permissions match responsibility,,"Four roles: user, creator, usher and admin, with root admin as a specialisation.",Only the root admin can grant or revoke admin; nobody can promote themselves or demote the root admin.,Done,TicketFlow\Backend,TicketFlow\Sprint 1,5,1,E1-Accounts
,Task,,Define user role and permission fields in the MongoDB user schema,,,Done,TicketFlow\Backend,TicketFlow\Sprint 1,,,E1-Accounts
,Task,,Build the role assignment endpoint PATCH /api/v1/users/:id/role,,,Done,TicketFlow\Backend,TicketFlow\Sprint 1,,,E1-Accounts
,Task,,Design the admin dashboard panel for managing user roles,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 1,,,E1-Accounts
,Task,,Implement canChangeRole with unit tests for every role pair,,,Done,TicketFlow\QA,TicketFlow\Sprint 1,,,E1-Accounts
,Product Backlog Item,"As a user I can update my profile picture, display name and bio so that my account represents me",,Profile editing with avatar upload to Cloudinary.,The new avatar appears in the navbar immediately; email changes do not bypass validation.,Done,TicketFlow\Frontend,TicketFlow\Sprint 1,3,2,E1-Accounts
,Task,,Build the profile edit form component with image preview,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 1,,,E1-Accounts
,Task,,Build the media upload handler for profile avatars via Cloudinary,,,Done,TicketFlow\Backend,TicketFlow\Sprint 1,,,E1-Accounts
,Task,,Create the PATCH /api/v1/users/update-my-details endpoint,,,Done,TicketFlow\Backend,TicketFlow\Sprint 1,,,E1-Accounts
,Product Backlog Item,As a user I can delete my own account so that I control my data,,Soft delete preserving bookings and audit history.,The account can no longer log in; referenced bookings and audit rows survive.,Done,TicketFlow\Backend,TicketFlow\Sprint 1,2,3,E1-Accounts
,Task,,Add the delete-account control with a confirmation step,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 1,,,E1-Accounts
,Task,,Implement soft delete via isActive and a pre-find hook excluding inactive users,,,Done,TicketFlow\Backend,TicketFlow\Sprint 1,,,E1-Accounts
,Product Backlog Item,As an administrator I can list and deactivate accounts so that I can manage the platform,,Administration views over users.,"Only admins reach these routes; deactivation is archival, never destructive.",Done,TicketFlow\Backend,TicketFlow\Sprint 1,5,2,E1-Accounts
,Task,,Build the admin user list with search,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 1,,,E1-Accounts
,Task,,Implement GET /api/v1/users and GET /api/v1/users/:id restricted to admin,,,Done,TicketFlow\Backend,TicketFlow\Sprint 1,,,E1-Accounts
,Task,,Implement canDeleteUser as a pure decision function with unit tests,,,Done,TicketFlow\QA,TicketFlow\Sprint 1,,,E1-Accounts
,Product Backlog Item,As the team we seed the first administrator from the CLI so that admin has no in-application origin,,Root admin creation outside the application surface.,Running the script promotes an existing account and flags it as root admin.,Done,TicketFlow\Backend,TicketFlow\Sprint 1,2,2,E1-Accounts
,Task,,Write the seed:admin CLI script,,,Done,TicketFlow\Backend,TicketFlow\Sprint 1,,,E1-Accounts
,Task,,Flag the seeded account as root admin,,,Done,TicketFlow\Backend,TicketFlow\Sprint 1,,,E1-Accounts
,Product Backlog Item,As the team every push is verified by CI so that regressions are caught before merge,,"GitHub Actions running lint, tests, typecheck and coverage.",The workflow runs on pushes and pull requests to main and dev and fails the build on a failing test.,Done,TicketFlow\DevOps,TicketFlow\Sprint 1,5,1,E8-Quality
,Task,,Create the GitHub Actions workflow for backend lint and tests,,,Done,TicketFlow\DevOps,TicketFlow\Sprint 1,,,E8-Quality
,Task,,Start MongoDB as a single-node replica set in CI so transactions work,Advertise 127.0.0.1 so replica-set discovery resolves from the runner.,,Done,TicketFlow\DevOps,TicketFlow\Sprint 1,,,E8-Quality
,Task,,"Add frontend typecheck, lint and component tests to the workflow",,,Done,TicketFlow\DevOps,TicketFlow\Sprint 1,,,E8-Quality
,Product Backlog Item,As the team we can run the whole stack in containers so that the environment is reproducible,,Docker images for both packages plus a compose file.,A clean machine can bring the stack up with one command; images publish to GHCR from main.,Done,TicketFlow\DevOps,TicketFlow\Sprint 1,3,3,E8-Quality
,Task,,Write Dockerfiles for the backend and the frontend,,,Done,TicketFlow\DevOps,TicketFlow\Sprint 1,,,E8-Quality
,Task,,Write docker-compose including replica-set initialisation,,,Done,TicketFlow\DevOps,TicketFlow\Sprint 1,,,E8-Quality
,Task,,Publish images to GitHub Container Registry on push to main,,,Done,TicketFlow\DevOps,TicketFlow\Sprint 1,,,E8-Quality
,Product Backlog Item,As an organiser I can access a dedicated Create Event page so that publishing is a deliberate action,,Entry point and access control for event creation.,The call to action is visible to signed-in organisers; anonymous visitors are redirected to login.,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,2,1,E2-Events
,Task,,Add the Create Event call-to-action button in the header navigation,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,,,E2-Events
,Task,,Add route middleware so only authenticated users can access the page,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,,,E2-Events
,Product Backlog Item,As an organiser I can create a new event so that it exists on the platform,,"The event document, its schema and the creation endpoint.",A created event receives a unique slug and appears in My Events.,Done,TicketFlow\Backend,TicketFlow\Sprint 2,5,1,E2-Events
,Task,,Set up the single-page form container component with initial state,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,,,E2-Events
,Task,,Define the Event schema in MongoDB with slug generation,,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E2-Events
,Task,,Implement POST /api/v1/events/create,,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E2-Events
,Product Backlog Item,As an organiser I can enter a title and rich description so that attendees understand the event,,Core descriptive fields.,"Both fields are required and validated server-side, not only in the browser.",Done,TicketFlow\Frontend,TicketFlow\Sprint 2,3,1,E2-Events
,Task,,Build the form input for the event name,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,,,E2-Events
,Task,,Integrate a formatted textarea for the event description,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,,,E2-Events
,Task,,Add validation for required title and description in the event schema,,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E2-Events
,Product Backlog Item,"As an organiser I can set the start date, end date and time so that attendees know when to arrive",,The event date window and its derived live state.,The end is never before the start; an event whose start and end fall on the same day is still live that day.,Done,TicketFlow\Backend,TicketFlow\Sprint 2,3,1,E2-Events
,Task,,Add date and time picker components for event start and end,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,,,E2-Events
,Task,,Implement validation so the end is never before the start,,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E2-Events
,Task,,"Derive the isLive virtual from the date window, running to end of day",,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E2-Events
,Product Backlog Item,As an organiser I can upload a primary display image so that the listing is visually identifiable,,Cover image capture and storage.,"The image previews before upload, oversized files are rejected, and the stored URL renders on the listing.",Done,TicketFlow\Frontend,TicketFlow\Sprint 2,3,2,E2-Events
,Task,,Create the image dropzone component with preview and file size check,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,,,E2-Events
,Task,,Implement the image upload endpoint with Cloudinary storage,,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E2-Events
,Task,,Store the cover image URL on the event document,,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E2-Events
,Product Backlog Item,As an organiser I can attach social links so that attendees can follow the event,,Optional social handles on the event.,Malformed URLs are rejected; empty fields are permitted.,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,2,3,E2-Events
,Task,,"Build input fields with dynamic icon prefixes for YouTube, Instagram and Facebook",,,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,,,E2-Events
,Task,,Add URL syntax validation for the provided social handles,,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E2-Events
,Product Backlog Item,As an organiser I can set opening and closing dates for ticket availability so that sales run to a schedule,,Sales window independent of the event window.,Booking cannot close after the event starts; the window is enforced server-side at purchase.,Done,TicketFlow\Backend,TicketFlow\Sprint 2,3,2,E3-Sales
,Task,,Add date and time pickers for ticket booking availability,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,,,E3-Sales
,Task,,Validate that booking closes at or before the event start time,,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E3-Sales
,Task,,Save the scheduling fields in the event schema,,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E3-Sales
,Product Backlog Item,As an organiser I can post the event so that it appears publicly,,Submission and cache revalidation.,The event appears on the listing page without a manual refresh.,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,3,1,E2-Events
,Task,,"Implement the submit handler, payload serialisation and success feedback",,,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,,,E2-Events
,Task,,Revalidate the event listing cache so the event appears immediately,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,,,E2-Events
,Product Backlog Item,"As an organiser I can define ticket tiers with price, quantity and per-order limits so that I can sell different admissions",,Multiple purchasable tiers per event.,Buying beyond a tier's remaining quantity is refused; an invite-only event cannot carry tiers.,Done,TicketFlow\Backend,TicketFlow\Sprint 2,8,1,E3-Sales
,Task,,Build the repeatable tier editor in the event form,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,,,E3-Sales
,Task,,"Model ticket tiers as a sub-document with price, quantity and per-order limit",,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E3-Sales
,Task,,Reject an invite-only event that carries ticket tiers,,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E3-Sales
,Product Backlog Item,As an organiser I can choose the ticket currency so that I charge in a currency my attendees use,,"Explicit currency per event, limited to what the gateway can settle.",Only settleable currencies are offered; changing the country does not silently change the currency.,Done,TicketFlow\Backend,TicketFlow\Sprint 2,3,2,E3-Sales
,Task,,Add the currency dropdown restricted to currencies the gateway settles,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,,,E3-Sales
,Task,,Add a currency enum to the event schema with a configurable default,,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E3-Sales
,Task,,"Carry the chosen currency through checkout, the ticket and the email",,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E3-Sales
,Product Backlog Item,"As an organiser I can set the event access mode so that entry is by ticket, by invitation, or both",,"Public, invite-only and hybrid events.",Invite-only events are hidden from public discovery and refuse purchase; hybrid allows both paths.,Done,TicketFlow\Backend,TicketFlow\Sprint 2,5,1,E2-Events
,Task,,Add the access mode selector to the create and edit forms,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,,,E2-Events
,Task,,"Add accessMode to the event schema with public, invite_only and hybrid",,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E2-Events
,Task,,Refuse ticket purchase on an invite-only event,,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E2-Events
,Product Backlog Item,As an organiser I can record venue detail so that attendees know what to expect,,"Venue name, dress code, parking, accessibility and age limit.",Each field renders on the event page and is available to the concierge.,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,3,2,E2-Events
,Task,,"Add venue name, dress code, parking, accessibility and age limit fields",,,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,,,E2-Events
,Task,,Persist the venue detail fields and surface them on the event page,,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E2-Events
,Product Backlog Item,As an organiser I can set venue capacity so that the door can stop admitting when the room is full,,"Safe occupancy, deliberately separate from ticket inventory.",Capacity is stored independently of total ticket quantity and is what the door enforces.,Done,TicketFlow\Backend,TicketFlow\Sprint 2,3,2,E2-Events
,Task,,Add the venue capacity field with helper text distinguishing it from ticket quantity,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,,,E2-Events
,Task,,Store venueCapacity separately from totalQuantity,,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E2-Events
,Product Backlog Item,As an organiser I can enter the event location so that attendees can find it,,"Structured country, state or county, city and postcode.",The county field is labelled appropriately for the selected country; city remains free text.,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,3,2,E2-Events
,Task,,"Add country, state or county, city and postcode fields with dependent dropdowns",,,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,,,E2-Events
,Task,,Persist the structured location on the event document,,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E2-Events
,Product Backlog Item,As an organiser I can edit an event so that details stay correct,,Update with ownership enforcement.,Only the creator or an admin can edit; a tier price change does not alter tickets already sold.,Done,TicketFlow\Backend,TicketFlow\Sprint 2,5,1,E2-Events
,Task,,Build the edit form pre-populated from the existing event,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,,,E2-Events
,Task,,Implement PATCH /api/v1/events/update/:eventId with ownership enforcement,,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E2-Events
,Task,,Leave the price stamped on tickets already sold unchanged,,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E2-Events
,Product Backlog Item,As an organiser I can see my own events so that I can manage them,,The My Events surface and its management links.,An organiser sees only their own events; an admin can widen the same view to all events.,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,3,1,E2-Events
,Task,,Build the My Events page with event cards and management links,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,,,E2-Events
,Task,,"Implement GET /api/v1/events/my/events, widening to all events for an admin",,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E2-Events
,Product Backlog Item,As an administrator I can archive an event so that it disappears without destroying its records,,Soft delete for events.,"Bookings, guests, chat and audit rows survive; assigned door staff are unassigned.",Done,TicketFlow\Backend,TicketFlow\Sprint 2,3,3,E2-Events
,Task,,Add the archive control with confirmation,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 2,,,E2-Events
,Task,,Implement soft delete and exclude archived events from every query,,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E2-Events
,Task,,Unassign door staff when an event is archived,,,Done,TicketFlow\Backend,TicketFlow\Sprint 2,,,E2-Events
,Product Backlog Item,As a visitor I can open a panel of event categories so that I can narrow what I browse,,Category browsing on the discovery page.,"The panel opens and closes on small screens; categories come from the API, not a hard-coded list.",Done,TicketFlow\Frontend,TicketFlow\Sprint 3,3,1,E11-Discovery
,Task,,Create the responsive category UI component with open and close triggers,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,,,E11-Discovery
,Task,,Fetch and display a dynamic list of categories with item icons,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,,,E11-Discovery
,Task,,Implement the categories endpoint returning active categories,,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E11-Discovery
,Product Backlog Item,As a visitor I can see the active filter tags so that I know what is being applied,,"Visible, removable filter state.",Every applied filter appears as a tag and can be cleared individually.,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,3,2,E11-Discovery
,Task,,Build the filter control panel with removable active tags,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,,,E11-Discovery
,Task,,Extend the event search and list endpoint with filter parameters,,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E11-Discovery
,Task,,Make the filter fields legible against the dark discovery banner,Contrast checked against the worst case under the banner glow.,,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,,,E11-Discovery
,Product Backlog Item,As a visitor I can sort search results so that the most relevant events come first,,Sorting on the listing endpoint.,Sort choice survives pagination; the list shows a loading state during the change.,Done,TicketFlow\Backend,TicketFlow\Sprint 3,3,2,E11-Discovery
,Task,,Add sorting parameters to the events listing controller,,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E11-Discovery
,Task,,Handle loading states and smooth transitions when sorting changes,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,,,E11-Discovery
,Product Backlog Item,As a visitor I can browse trending and upcoming events so that I discover events without searching,,Home page carousels.,Invite-only events never appear; past events never appear as upcoming.,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,3,2,E11-Discovery
,Task,,Build the trending and upcoming carousels on the home page,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,,,E11-Discovery
,Task,,Implement the trending and upcoming endpoints excluding invite-only events,,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E11-Discovery
,Product Backlog Item,As a visitor I can search events by name and city so that I find something specific,,Free-text search across the listing.,Search is case-insensitive and matches partial names.,Done,TicketFlow\Backend,TicketFlow\Sprint 3,3,1,E11-Discovery
,Task,,Build the search field with debounced input,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,,,E11-Discovery
,Task,,"Implement case-insensitive search across name, category and city",,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E11-Discovery
,Product Backlog Item,As a visitor I can ask a concierge about events in plain English so that I need no training,,"AI concierge backed by a hosted model, answering only from real data.",The model never invents an event; with no API key configured the widget degrades to a canned reply rather than an error.,Done,TicketFlow\Data & ML,TicketFlow\Sprint 3,13,2,E10-Concierge
,Task,,Build the chat widget with a launcher and message history,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,,,E10-Concierge
,Task,,"Implement the tool-calling loop with search, event detail and FAQ tools",,,Done,TicketFlow\Data & ML,TicketFlow\Sprint 3,,,E10-Concierge
,Task,,Add an OpenAI provider with a Gemini fallback over plain fetch,,,Done,TicketFlow\Data & ML,TicketFlow\Sprint 3,,,E10-Concierge
,Task,,Format replies as labelled bullets so the panel renders them legibly,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,,,E10-Concierge
,Product Backlog Item,As an attendee I can ask what to wear and whether an event runs late so that I can prepare,,Forecast and practical attendance advice for a named event.,Advice comes only from the returned conditions; if no forecast is available the reply says so rather than guessing.,Done,TicketFlow\Data & ML,TicketFlow\Sprint 3,5,2,E10-Concierge
,Task,,"Integrate Open-Meteo geocoding and forecast, which needs no API key",,,Done,TicketFlow\Data & ML,TicketFlow\Sprint 3,,,E10-Concierge
